,date,cell_num,nr_people,hours,minutes
35049,2017-04-17,493-1264,30.0,15.0,30.0
35270,2017-04-17,493-1264,30.0,15.0,45.0
35491,2017-04-17,493-1264,30.0,16.0,0.0
35712,2017-04-17,493-1264,30.0,16.0,15.0
35933,2017-04-17,493-1264,32.0,16.0,30.0
36154,2017-04-17,493-1264,33.0,16.0,45.0
36375,2017-04-17,493-1264,33.0,17.0,0.0
36596,2017-04-17,493-1264,32.0,17.0,15.0
36817,2017-04-17,493-1264,33.0,17.0,30.0
37038,2017-04-17,493-1264,32.0,17.0,45.0
37259,2017-04-17,493-1264,33.0,18.0,0.0
37480,2017-04-17,493-1264,32.0,18.0,15.0
37701,2017-04-17,493-1264,32.0,18.0,30.0
37922,2017-04-17,493-1264,32.0,18.0,45.0
38143,2017-04-17,493-1264,31.0,19.0,0.0
38364,2017-04-17,493-1264,31.0,19.0,15.0
38585,2017-04-17,493-1264,31.0,19.0,30.0
38806,2017-04-17,493-1264,31.0,19.0,45.0
39027,2017-04-17,493-1264,30.0,20.0,0.0
39248,2017-04-17,493-1264,29.0,20.0,15.0
39469,2017-04-17,493-1264,29.0,20.0,30.0
39690,2017-04-17,493-1264,29.0,20.0,45.0
39911,2017-04-17,493-1264,28.0,21.0,0.0
40132,2017-04-17,493-1264,28.0,21.0,15.0
40353,2017-04-17,493-1264,28.0,21.0,30.0
40574,2017-04-17,493-1264,28.0,21.0,45.0
40795,2017-04-17,493-1264,28.0,22.0,0.0
41016,2017-04-17,493-1264,28.0,22.0,15.0
41237,2017-04-17,493-1264,28.0,22.0,30.0
41458,2017-04-17,493-1264,26.0,22.0,45.0
41679,2017-04-17,493-1264,27.0,23.0,0.0
41900,2017-04-17,493-1264,28.0,23.0,15.0
42121,2017-04-17,493-1264,28.0,23.0,30.0
42342,2017-04-17,493-1264,28.0,23.0,45.0
42563,2017-04-18,493-1264,27.0,0.0,0.0
42784,2017-04-18,493-1264,26.0,0.0,15.0
43005,2017-04-18,493-1264,26.0,0.0,30.0
43226,2017-04-18,493-1264,26.0,0.0,45.0
43447,2017-04-18,493-1264,26.0,1.0,0.0
43668,2017-04-18,493-1264,23.0,1.0,15.0
43889,2017-04-18,493-1264,23.0,1.0,30.0
44110,2017-04-18,493-1264,22.0,1.0,45.0
44331,2017-04-18,493-1264,21.0,2.0,0.0
44552,2017-04-18,493-1264,21.0,2.0,15.0
44773,2017-04-18,493-1264,20.0,2.0,30.0
44994,2017-04-18,493-1264,20.0,2.0,45.0
45215,2017-04-18,493-1264,20.0,3.0,0.0
